Company,Parent Company if no data ,last report issued,Female,Male,Female Tech,Male Tech,Female Managers,Male Managers,White,White Tech,Asian,Asian Tech,Latino,Latino Tech,Black,Black Tech,Two+ races,Two+races Tech,Other,Other Tech,Gender Total,Gender Tech Total,Ethinicity Total,Ethnicity Tech Total,Source,Link,Employees
U.S. Population,,-,51,49,-,-,-,-,64,-,4,-,16,-,12,-,1,-,3,-,100.00,#VALUE!,100.00,#VALUE!,"Prison Bars, CIA World Factbook, UNFPA",https://www.cia.gov/library/publications/the-world-factbook/geos/us.html,321368864
Facebook,,2016,33,67,17,83,27,73,52,48,38,46,4,3,2,1,3,2,1,0,100.00,100.00,100.00,100.00,Facebook,http://newsroom.fb.com/news/2016/07/facebook-diversity-update-positive-hiring-trends-show-progress/,10082
Instagram,Facebook,2016,33,67,17,83,27,73,52,48,38,46,4,3,2,1,3,2,1,0,100.00,100.00,100.00,100.00,Facebook,http://newsroom.fb.com/news/2016/07/facebook-diversity-update-positive-hiring-trends-show-progress/,9
Google+,Google,2016,31,69,19,81,24,76,59,57,32,37,3,3,2,1,3,3,1,0,100.00,100.00,100.00,101.00,Google,https://plus.google.com/+google/posts/1VbnjxYQ5dv?pid=6155519933294674402&oid=116899029375914044550,
YouTube,Google,2016,31,69,19,81,24,76,59,57,32,37,3,3,2,1,3,3,1,0,100.00,100.00,100.00,101.00,Google,http://www.google.com/diversity/at-google.html#tab=overall,
LinkedIn,,2016,42,58,20,80,35,65,54,35,36,59,5,3,3,1,2,2,1,1,100.00,100.00,101.00,101.00,LinkedIn,https://careers.linkedin.com/diversity-and-inclusion?trk=li_corpblog_corp_linkedin_diversity_report_patwadors,7600
Pinterest,,  ,42,58,21,79,16,84,49,35,43,60,2,2,1,1,3,2,1,0,100.00,100.00,99.00,100.00,Pinterest,https://blog.pinterest.com/en/our-plan-more-diverse-pinterest,300
Tumblr,Yahoo!,2016,37,63,17,83,22,78,45,31,44,62,4,2,2,1,2,1,3,3,100.00,100.00,100.00,100.00,Yahoo!,http://yahoo.tumblr.com/post/89085398949/workforce-diversity-at-yahoo,298
Flickr,Yahoo!,2016,37,63,17,83,22,78,45,31,44,62,4,2,2,1,2,1,3,3,100.00,100.00,100.00,100.00,Yahoo!,http://yahoo.tumblr.com/post/89085398949/workforce-diversity-at-yahoo,
Twitter,,2015,34,66,13,87,22,78,59,56,31,37,4,3,2,1,3,2,1,2,100.00,100.00,100.00,101.00,Twitter,https://g.twimg.com/blog/blog/image/Twitter_2015_Diversity_Data_0.png,3600
Slack,,2016,43,57,28,72,43,57,63,65,23,17,5,6,4,7,0,0,5,5,100.00,100.00,100.00,100.00,,http://slackhq.com/post/138617283075/diversity-and-inclusion-updates,290
Yahoo!,,2016,37,63,17,83,22,78,45,31,44,62,4,2,2,1,2,1,3,3,100.00,100.00,100.00,100.00,Yahoo!,https://yahoo.tumblr.com/post/152561899994/yahoos-2016-diversity-report,12300
Google,,2016,31,69,19,81,24,76,59,57,32,37,3,3,2,1,3,3,1,0,100.00,100.00,100.00,101.00,Google,http://www.google.co.uk/diversity/,55419
